State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
District of Columbia,"Credit Bureaus, Information Furnishers and Report Users",640,7%
District of Columbia,Telephone and Mobile Services,521,6%
District of Columbia,Debt Collection,490,5%
District of Columbia,Online Shopping and Negative Reviews,453,5%
District of Columbia,Auto Related,315,3%
District of Columbia,Credit Cards,297,3%
District of Columbia,Internet Services,264,3%
Florida,Identity Theft,"64,842",27%
Florida,Imposter Scams,"36,671",15%
Florida,"Credit Bureaus, Information Furnishers and Report Users","25,272",10%
Florida,Debt Collection,"14,237",6%
Florida,Telephone and Mobile Services,"11,808",5%
Florida,Banks and Lenders,"11,280",5%
Florida,Auto Related,"8,888",4%
Florida,Online Shopping and Negative Reviews,"8,822",4%
Florida,"Prizes, Sweepstakes and Lotteries","7,044",3%
Florida,Internet Services,"5,463",2%
Georgia,Identity Theft,"44,888",36%
Georgia,Imposter Scams,"13,375",11%
Georgia,"Credit Bureaus, Information Furnishers and Report Users","11,397",9%
Georgia,Debt Collection,"7,514",6%
Georgia,Banks and Lenders,"6,087",5%
Georgia,Telephone and Mobile Services,"5,765",5%
Georgia,Auto Related,"4,410",4%
Georgia,Online Shopping and Negative Reviews,"4,071",3%
Georgia,"Prizes, Sweepstakes and Lotteries","2,991",2%
Georgia,Credit Cards,"2,215",2%
Hawaii,Imposter Scams,"1,553",18%
Hawaii,Identity Theft,"1,347",16%
Hawaii,Telephone and Mobile Services,664,8%
Hawaii,Online Shopping and Negative Reviews,561,7%
Hawaii,"Prizes, Sweepstakes and Lotteries",470,6%
Hawaii,"Credit Bureaus, Information Furnishers and Report Users",454,5%
Hawaii,Banks and Lenders,390,5%
Hawaii,Internet Services,293,3%
Hawaii,Auto Related,283,3%
Hawaii,Debt Collection,263,3%
Idaho,Imposter Scams,"2,692",25%
Idaho,Identity Theft,"1,420",13%
Idaho,Telephone and Mobile Services,721,7%
Idaho,Online Shopping and Negative Reviews,638,6%
Idaho,"Prizes, Sweepstakes and Lotteries",579,5%
Idaho,Banks and Lenders,478,4%
Idaho,Debt Collection,447,4%
Idaho,"Credit Bureaus, Information Furnishers and Report Users",370,3%
Idaho,Auto Related,361,3%
Idaho,Internet Services,320,3%
Illinois,Identity Theft,"23,139",24%
Illinois,Imposter Scams,"16,345",17%
Illinois,Telephone and Mobile Services,"6,635",7%
Illinois,"Credit Bureaus, Information Furnishers and Report Users","5,971",6%
Illinois,Banks and Lenders,"5,521",6%
Illinois,Online Shopping and Negative Reviews,"5,016",5%
Illinois,Auto Related,"3,906",4%
Illinois,Debt Collection,"3,817",4%
Illinois,"Prizes, Sweepstakes and Lotteries","3,278",3%
Illinois,Internet Services,"2,648",3%
Indiana,Imposter Scams,"8,979",22%
Indiana,Identity Theft,"6,386",16%
Indiana,Telephone and Mobile Services,"2,542",6%
Indiana,Online Shopping and Negative Reviews,"2,508",6%
Indiana,"Prizes, Sweepstakes and Lotteries","2,450",6%
Indiana,Debt Collection,"2,092",5%
Indiana,Banks and Lenders,"1,983",5%
Indiana,Auto Related,"1,581",4%
Indiana,"Credit Bureaus, Information Furnishers and Report Users","1,462",4%
Indiana,Internet Services,1236,3%
Iowa,Imposter Scams,"4,702",28%
Iowa,Identity Theft,"1,910",11%
Iowa,Telephone and Mobile Services,"1,249",7%
Iowa,"Prizes, Sweepstakes and Lotteries",1025,6%
Iowa,Online Shopping and Negative Reviews,1017,6%
Iowa,Debt Collection,724,4%
Iowa,Banks and Lenders,692,4%
Iowa,Auto Related,530,3%
Iowa,"Credit Bureaus, Information Furnishers and Report Users",451,3%
Iowa,Internet Services,419,2%
Kansas,Imposter Scams,"4,354",24%
Kansas,Identity Theft,"2,273",13%
Kansas,Telephone and Mobile Services,"1,300",7%
Kansas,"Prizes, Sweepstakes and Lotteries","1,284",7%
Kansas,Online Shopping and Negative Reviews,"1,036",6%
Kansas,Debt Collection,932,5%
Kansas,Banks and Lenders,739,4%
Kansas,"Credit Bureaus, Information Furnishers and Report Users",655,4%
Kansas,Auto Related,631,3%
Kansas,Health Care,460,3%
Kentucky,Imposter Scams,"6,005",23%
Kentucky,Identity Theft,"2,977",11%
Kentucky,Telephone and Mobile Services,"2,039",8%
Kentucky,"Prizes, Sweepstakes and Lotteries","1,774",7%
Kentucky,Online Shopping and Negative Reviews,"1,555",6%
Kentucky,Banks and Lenders,"1,360",5%
Kentucky,Debt Collection,"1,169",4%
Kentucky,Auto Related,"1,128",4%
Kentucky,"Credit Bureaus, Information Furnishers and Report Users",731,3%
Kentucky,Internet Services,695,3%
Louisiana,Identity Theft,"10,582",30%
Louisiana,Imposter Scams,"5,438",15%
Louisiana,"Credit Bureaus, Information Furnishers and Report Users","3,242",9%
Louisiana,Telephone and Mobile Services,"1,892",5%
Louisiana,Debt Collection,"1,760",5%
Louisiana,Banks and Lenders,"1,528",4%
Louisiana,Online Shopping and Negative Reviews,"1,436",4%
Louisiana,"Prizes, Sweepstakes and Lotteries","1,256",4%
Louisiana,Auto Related,1081,3%
Louisiana,Internet Services,530,1%
Maine,Imposter Scams,"1,933",25%
Maine,Identity Theft,807,10%
Maine,"Prizes, Sweepstakes and Lotteries",664,8%
Maine,Online Shopping and Negative Reviews,524,7%
Maine,Telephone and Mobile Services,437,6%
Maine,Banks and Lenders,384,5%
Maine,Debt Collection,366,5%
Maine,Auto Related,278,4%
Maine,Internet Services,232,3%
Maine,Health Care,199,3%
Maryland,Identity Theft,"12,675",21%
Maryland,Imposter Scams,"10,597",18%
Maryland,Banks and Lenders,"3,681",6%
Maryland,Telephone and Mobile Services,"3,264",6%
Maryland,"Credit Bureaus, Information Furnishers and Report Users","2,841",5%
Maryland,Online Shopping and Negative Reviews,"2,711",5%
Maryland,Debt Collection,"2,537",4%
Maryland,Auto Related,"2,449",4%
Maryland,"Prizes, Sweepstakes and Lotteries","2,073",4%
Maryland,Internet Services,"1,456",2%
Massachusetts,Imposter Scams,"10,969",23%
Massachusetts,Identity Theft,"8,606",18%
Massachusetts,Online Shopping and Negative Reviews,"3,068",7%
Massachusetts,Telephone and Mobile Services,"2,746",6%
Massachusetts,Banks and Lenders,"2,690",6%
Massachusetts,Auto Related,"1,783",4%
Massachusetts,"Credit Bureaus, Information Furnishers and Report Users","1,594",3%
Massachusetts,"Prizes, Sweepstakes and Lotteries","1,470",3%
Massachusetts,Debt Collection,"1,436",3%
Massachusetts,Internet Services,"1,356",3%
Michigan,Imposter Scams,"13,957",20%
Michigan,Identity Theft,"13,532",20%
Michigan,Telephone and Mobile Services,"4,377",6%
Michigan,Debt Collection,"4,012",6%
Michigan,Online Shopping and Negative Reviews,"3,876",6%
Michigan,Banks and Lenders,"3,488",5%
Michigan,"Prizes, Sweepstakes and Lotteries","3,081",4%
Michigan,"Credit Bureaus, Information Furnishers and Report Users","2,964",4%
Michigan,Auto Related,"2,110",3%
Michigan,Internet Services,"1,819",3%
Minnesota,Imposter Scams,"8,112",23%
Minnesota,Identity Theft,"4,499",13%
Minnesota,Telephone and Mobile Services,"2,597",7%
Minnesota,"Prizes, Sweepstakes and Lotteries","2,168",6%
Minnesota,Online Shopping and Negative Reviews,"2,106",6%
Minnesota,Banks and Lenders,"1,652",5%
Minnesota,"Credit Bureaus, Information Furnishers and Report Users","1,201",3%
Minnesota,Debt Collection,1149,3%
Minnesota,Internet Services,1118,3%
Minnesota,Auto Related,1019,3%
Mississippi,Identity Theft,"4,714",24%
Mississippi,Imposter Scams,"3,122",16%
Mississippi,Telephone and Mobile Services,"1,547",8%
Mississippi,"Prizes, Sweepstakes and Lotteries","1,244",6%
Mississippi,"Credit Bureaus, Information Furnishers and Report Users","1,107",6%
Mississippi,Banks and Lenders,"1,058",5%
Mississippi,Debt Collection,968,5%
Mississippi,Online Shopping and Negative Reviews,933,5%
Mississippi,Auto Related,683,3%
Mississippi,Internet Services,350,2%
Missouri,Imposter Scams,"9,067",19%
Missouri,Identity Theft,"7,406",16%
Missouri,"Credit Bureaus, Information Furnishers and Report Users","3,391",7%
Missouri,Telephone and Mobile Services,"3,152",7%
Missouri,Debt Collection,"2,546",5%
Missouri,Online Shopping and Negative Reviews,"2,473",5%
Missouri,"Prizes, Sweepstakes and Lotteries","2,449",5%
Missouri,Auto Related,"2,283",5%
Missouri,Banks and Lenders,"2,247",5%
Missouri,Internet Services,1124,2%
Montana,Imposter Scams,"1,763",26%
Montana,Identity Theft,707,10%
Montana,"Prizes, Sweepstakes and Lotteries",665,10%
Montana,Telephone and Mobile Services,495,7%
Montana,Online Shopping and Negative Reviews,411,6%
Montana,Debt Collection,268,4%
Montana,Banks and Lenders,265,4%
Montana,"Credit Bureaus, Information Furnishers and Report Users",181,3%
Montana,Auto Related,177,3%
Montana,Internet Services,155,2%
Nebraska,Imposter Scams,"2,531",24%
Nebraska,Identity Theft,"1,320",13%
Nebraska,Telephone and Mobile Services,897,9%
Nebraska,Online Shopping and Negative Reviews,668,6%
Nebraska,"Prizes, Sweepstakes and Lotteries",637,6%
Nebraska,Banks and Lenders,458,4%
Nebraska,Debt Collection,404,4%
Nebraska,Auto Related,357,3%
Nebraska,Internet Services,349,3%
Nebraska,Health Care,266,3%
Nevada,Identity Theft,"7,757",22%
Nevada,Imposter Scams,"6,849",19%
Nevada,"Credit Bureaus, Information Furnishers and Report Users","2,768",8%
Nevada,Telephone and Mobile Services,"2,071",6%
Nevada,Debt Collection,"1,806",5%
Nevada,Banks and Lenders,"1,680",5%
Nevada,Auto Related,"1,369",4%
Nevada,Online Shopping and Negative Reviews,"1,329",4%
Nevada,"Prizes, Sweepstakes and Lotteries",811,2%
Nevada,Internet Services,784,2%
New Hampshire,Imposter Scams,"2,384",24%
New Hampshire,Identity Theft,"1,302",13%
New Hampshire,Online Shopping and Negative Reviews,691,7%
New Hampshire,Telephone and Mobile Services,648,7%
New Hampshire,Banks and Lenders,526,5%
New Hampshire,Auto Related,454,5%
New Hampshire,"Prizes, Sweepstakes and Lotteries",419,4%
New Hampshire,Debt Collection,372,4%
New Hampshire,Internet Services,289,3%
New Hampshire,"Credit Bureaus, Information Furnishers and Report Users",251,3%
New Jersey,Identity Theft,"18,220",24%
New Jersey,Imposter Scams,"12,820",17%
New Jersey,Banks and Lenders,"4,555",6%
New Jersey,"Credit Bureaus, Information Furnishers and Report Users","4,505",6%
New Jersey,Online Shopping and Negative Reviews,"3,641",5%
New Jersey,Telephone and Mobile Services,"3,545",5%
New Jersey,Debt Collection,"3,221",4%
New Jersey,Auto Related,"3,140",4%
New Jersey,"Prizes, Sweepstakes and Lotteries","2,072",3%
New Jersey,Credit Cards,"1,874",2%
New Mexico,Imposter Scams,"3,338",24%
New Mexico,Identity Theft,"2,088",15%
New Mexico,Telephone and Mobile Services,936,7%
New Mexico,"Prizes, Sweepstakes and Lotteries",789,6%
New Mexico,Online Shopping and Negative Reviews,711,5%
New Mexico,Debt Collection,668,5%
New Mexico,Banks and Lenders,651,5%
New Mexico,"Credit Bureaus, Information Furnishers and Report Users",513,4%
New Mexico,Auto Related,499,4%
New Mexico,Health Care,344,2%
New York,Identity Theft,"36,337",22%
New York,Imposter Scams,"32,977",20%
New York,"Credit Bureaus, Information Furnishers and Report Users","12,267",7%
New York,Online Shopping and Negative Reviews,"8,679",5%
New York,Banks and Lenders,"8,288",5%
New York,Telephone and Mobile Services,"7,833",5%
New York,Debt Collection,"5,954",4%
New York,Auto Related,"5,703",3%
New York,Internet Services,"4,706",3%
New York,"Prizes, Sweepstakes and Lotteries","4,427",3%
North Carolina,Identity Theft,"18,584",22%
North Carolina,Imposter Scams,"15,286",18%
North Carolina,"Credit Bureaus, Information Furnishers and Report Users","5,637",7%
North Carolina,Telephone and Mobile Services,"5,233",6%
North Carolina,"Prizes, Sweepstakes and Lotteries","4,590",5%
North Carolina,Banks and Lenders,"4,311",5%
North Carolina,Online Shopping and Negative Reviews,"3,968",5%
North Carolina,Debt Collection,"3,731",4%
North Carolina,Auto Related,"3,251",4%
North Carolina,Internet Services,"1,897",2%
North Dakota,Imposter Scams,769,23%
North Dakota,Identity Theft,448,14%
North Dakota,"Prizes, Sweepstakes and Lotteries",278,8%
North Dakota,Online Shopping and Negative Reviews,230,7%
North Dakota,Telephone and Mobile Services,213,6%
North Dakota,Debt Collection,167,5%
North Dakota,Banks and Lenders,139,4%
North Dakota,"Credit Bureaus, Information Furnishers and Report Users",122,4%
North Dakota,Auto Related,102,3%
North Dakota,Internet Services,90,3%
Ohio,Imposter Scams,"16,452",19%
Ohio,Identity Theft,"13,788",16%
Ohio,Telephone and Mobile Services,"5,553",6%
Ohio,Debt Collection,"4,773",6%
Ohio,"Prizes, Sweepstakes and Lotteries","4,590",5%
Ohio,Online Shopping and Negative Reviews,"4,575",5%
Ohio,Banks and Lenders,"4,528",5%
Ohio,Auto Related,"4,306",5%
Ohio,"Credit Bureaus, Information Furnishers and Report Users","4,120",5%
Ohio,Internet Services,"2,190",3%
Oklahoma,Imposter Scams,"4,881",22%
Oklahoma,Identity Theft,"3,706",17%
Oklahoma,Telephone and Mobile Services,"1,726",8%
Oklahoma,"Prizes, Sweepstakes and Lotteries","1,519",7%
Oklahoma,Debt Collection,"1,164",5%
Oklahoma,Online Shopping and Negative Reviews,1144,5%
Oklahoma,Banks and Lenders,1037,5%
Oklahoma,Auto Related,912,4%
Oklahoma,"Credit Bureaus, Information Furnishers and Report Users",622,3%
Oklahoma,Internet Services,553,2%
Oregon,Imposter Scams,"8,786",27%
Oregon,Identity Theft,"4,005",12%
Oregon,Telephone and Mobile Services,"2,161",7%
Oregon,"Prizes, Sweepstakes and Lotteries","2,032",6%
Oregon,Online Shopping and Negative Reviews,"1,907",6%
Oregon,Banks and Lenders,"1,549",5%
Oregon,Internet Services,"1,214",4%
Oregon,Debt Collection,1188,4%
Oregon,Auto Related,830,3%
Oregon,Health Care,697,2%
Pennsylvania,Identity Theft,"20,899",20%
Pennsylvania,Imposter Scams,"19,654",19%
Pennsylvania,Telephone and Mobile Services,"6,061",6%
Pennsylvania,Online Shopping and Negative Reviews,"5,884",6%
Pennsylvania,"Credit Bureaus, Information Furnishers and Report Users","5,793",6%
Pennsylvania,Banks and Lenders,"5,136",5%
Pennsylvania,"Prizes, Sweepstakes and Lotteries","4,379",4%
Pennsylvania,Debt Collection,"4,341",4%
Pennsylvania,Auto Related,"3,926",4%
Pennsylvania,Internet Services,"2,686",3%
Puerto Rico,Identity Theft,"1,621",30%
Puerto Rico,Imposter Scams,896,17%
Puerto Rico,"Credit Bureaus, Information Furnishers and Report Users",386,7%
Puerto Rico,Online Shopping and Negative Reviews,289,5%
Puerto Rico,Banks and Lenders,287,5%
Puerto Rico,Debt Collection,184,3%
Puerto Rico,Advance Payments for Credit Services,169,3%
Puerto Rico,Telephone and Mobile Services,145,3%
Puerto Rico,Credit Cards,117,2%
Puerto Rico,Education,102,2%
Rhode Island,Imposter Scams,"1,543",22%
Rhode Island,Identity Theft,"1,146",17%
Rhode Island,Online Shopping and Negative Reviews,450,6%
Rhode Island,Banks and Lenders,421,6%
Rhode Island,Telephone and Mobile Services,367,5%
Rhode Island,Debt Collection,311,4%
Rhode Island,"Prizes, Sweepstakes and Lotteries",303,4%
Rhode Island,"Credit Bureaus, Information Furnishers and Report Users",296,4%
Rhode Island,Auto Related,268,4%
Rhode Island,Internet Services,180,3%
South Carolina,Identity Theft,"10,851",24%
South Carolina,Imposter Scams,"7,141",16%
South Carolina,Debt Collection,"3,158",7%
South Carolina,"Credit Bureaus, Information Furnishers and Report Users","2,998",7%
South Carolina,Banks and Lenders,"2,323",5%
South Carolina,Telephone and Mobile Services,"2,292",5%
South Carolina,"Prizes, Sweepstakes and Lotteries","2,143",5%
South Carolina,Online Shopping and Negative Reviews,"1,936",4%
South Carolina,Auto Related,"1,802",4%
South Carolina,Health Care,862,2%
South Dakota,Imposter Scams,788,22%
South Dakota,Identity Theft,411,11%
South Dakota,Online Shopping and Negative Reviews,291,8%
South Dakota,Telephone and Mobile Services,265,7%
South Dakota,"Prizes, Sweepstakes and Lotteries",260,7%
South Dakota,Banks and Lenders,169,5%
South Dakota,Debt Collection,158,4%
South Dakota,Auto Related,133,4%
South Dakota,Internet Services,98,3%
South Dakota,Credit Cards,91,3%
Tennessee,Identity Theft,"10,664",20%
Tennessee,Imposter Scams,"9,878",18%
Tennessee,Telephone and Mobile Services,"3,308",6%
Tennessee,"Credit Bureaus, Information Furnishers and Report Users","3,092",6%
Tennessee,Debt Collection,"2,748",5%
Tennessee,"Prizes, Sweepstakes and Lotteries","2,717",5%
Tennessee,Banks and Lenders,"2,646",5%
Tennessee,Online Shopping and Negative Reviews,"2,613",5%
Tennessee,Auto Related,"2,104",4%
Tennessee,Internet Services,1223,2%
Texas,Identity Theft,"73,553",30%
Texas,Imposter Scams,"36,143",15%
Texas,Debt Collection,"15,790",6%
Texas,"Credit Bureaus, Information Furnishers and Report Users","15,327",6%
Texas,Telephone and Mobile Services,"13,274",5%
Texas,Banks and Lenders,"10,148",4%
Texas,Online Shopping and Negative Reviews,"9,091",4%
Texas,Auto Related,"8,985",4%
Texas,"Prizes, Sweepstakes and Lotteries","7,981",3%
Texas,Internet Services,"5,222",2%
Utah,Identity Theft,"4,702",21%
Utah,Imposter Scams,"3,762",17%
Utah,"Credit Bureaus, Information Furnishers and Report Users","2,098",10%
Utah,Telephone and Mobile Services,"1,483",7%
Utah,"Prizes, Sweepstakes and Lotteries","1,162",5%
Utah,Online Shopping and Negative Reviews,1119,5%
Utah,Debt Collection,924,4%
Utah,Banks and Lenders,892,4%
Utah,Auto Related,625,3%
Utah,Internet Services,493,2%
Vermont,Imposter Scams,837,24%
Vermont,Identity Theft,338,10%
Vermont,Online Shopping and Negative Reviews,264,8%
Vermont,Banks and Lenders,222,6%
Vermont,"Prizes, Sweepstakes and Lotteries",219,6%
Vermont,Telephone and Mobile Services,198,6%
Vermont,Auto Related,162,5%
Vermont,Internet Services,126,4%
Vermont,Credit Cards,102,3%
Vermont,Debt Collection,82,2%
Virginia,Imposter Scams,"13,408",20%
Virginia,Identity Theft,"10,284",15%
Virginia,Banks and Lenders,"3,981",6%
Virginia,Telephone and Mobile Services,"3,944",6%
Virginia,Online Shopping and Negative Reviews,"3,747",6%
Virginia,Debt Collection,"3,466",5%
Virginia,"Credit Bureaus, Information Furnishers and Report Users","3,254",5%
Virginia,Auto Related,"2,969",4%
Virginia,"Prizes, Sweepstakes and Lotteries","2,745",4%
Virginia,Internet Services,"1,842",3%
Washington,Imposter Scams,"15,374",27%
Washington,Identity Theft,"7,110",13%
Washington,Telephone and Mobile Services,"3,713",7%
Washington,Online Shopping and Negative Reviews,"3,459",6%
Washington,Banks and Lenders,"2,900",5%
Washington,"Prizes, Sweepstakes and Lotteries","2,054",4%
Washington,Debt Collection,"1,955",3%
Washington,Internet Services,"1,933",3%
Washington,Auto Related,"1,808",3%
Washington,"Credit Bureaus, Information Furnishers and Report Users","1,661",3%
West Virginia,Imposter Scams,"2,582",23%
West Virginia,"Prizes, Sweepstakes and Lotteries","1,100",10%
West Virginia,Identity Theft,"1,061",9%
West Virginia,Telephone and Mobile Services,732,7%
West Virginia,Online Shopping and Negative Reviews,640,6%
West Virginia,Internet Services,619,6%
West Virginia,Television and Electronic Media,498,4%
West Virginia,Banks and Lenders,417,4%
West Virginia,Auto Related,416,4%
West Virginia,Debt Collection,348,3%
Wisconsin,Imposter Scams,"8,146",22%
Wisconsin,Identity Theft,"5,023",14%
Wisconsin,Telephone and Mobile Services,"2,481",7%
Wisconsin,Online Shopping and Negative Reviews,"2,430",7%
Wisconsin,"Prizes, Sweepstakes and Lotteries","2,223",6%
Wisconsin,Banks and Lenders,"1,761",5%
Wisconsin,Debt Collection,"1,476",4%
Wisconsin,Auto Related,"1,426",4%
Wisconsin,Internet Services,"1,136",3%
Wisconsin,"Credit Bureaus, Information Furnishers and Report Users",1040,3%
Wyoming,Imposter Scams,739,24%
Wyoming,Identity Theft,319,10%
Wyoming,"Prizes, Sweepstakes and Lotteries",257,8%
Wyoming,Telephone and Mobile Services,220,7%
Wyoming,Online Shopping and Negative Reviews,191,6%
Wyoming,Debt Collection,180,6%
Wyoming,Banks and Lenders,124,4%
Wyoming,Auto Related,121,4%
Wyoming,"Credit Bureaus, Information Furnishers and Report Users",108,3%
Wyoming,Internet Services,85,3%
,,,
Percentages are based on the total number of 2019 reports from the corresponding state's consumers.,,,
,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,
