"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Dataline, Inc.","privacy.officer [at] datalinedata.com","http://www.datalinedata.com","506 Carnegie Center Drive, Suite 105, Princeton, NJ 08540, United States","We invite California consumers to the Dataline website at www.datalinedata.com in order to opt out of the sale of their data and/or to submit requests under CCPA.  Consumers should click on the button indicating ""Do Not Sell My Information"" and complete the CCPA request form. Consumers should verify their request after completing the form by calling (888) 990-3399 and giving the code received from the Privacy Portal., ","We invite California consumers to the Dataline website at www.datalinedata.com in order to delete their information under CCPA.  Consumers should click on the button indicating ""Do Not Sell My Information"" and complete the CCPA request form. Consumers should verify their request after completing the form by calling (888) 990-3399 and giving the code received from the Privacy Portal., , ","We welcome California consumers to visit our Privacy Policy at www.datalinedata.com, ","02/27/2020"
"ShareThis, Inc","privacy [at] sharethis.com","https://sharethis.com/","3000 El Camino Real, 5 Palo Alto Square Suite 150, Palo Alto, CA 94306, United States","Opt out requests may be made here:  https://sharethis.com/do-not-sell-my-data-page/","Information on Data Subject Requests can be found here: https://sharethis.com/ccpa-gdpr-data-subject-access-request-page/","Information on ShareThis data collection can be found here: https://sharethis.com/privacy/","03/03/2020"
"QuinStreet, Inc. ","QS_Compliance [at] quinstreet.com","https://www.quinstreet.com/","950 Tower Lane Suite 600, Foster City, CA 94404, United States","A consumer may opt-out of sale or submit requests under the CCPA by following the links provided in QuinStreet's Privacy Notice which can be accessed at this URL, https://www.quinstreet.com/privacy-notice/. , , , ","A protected individual may demand deletion of any information posted online by emailing legalq@quinstreet.com. ","https://www.quinstreet.com/privacy-notice/","03/19/2020"
"R.L. Polk & Co.","Privacy [at] ihsmarkit.com","https://ihsmarkit.com/industry/automotive.html","15 Inverness Drive South, Attn: Chief Privacy Officer, Englewood, CO 80112, United States","http://more.ihs.com/DoNotSell, 1-800-447-2273","https://app.onetrust.com/app/#/webform/7020d814-78eb-45f1-bfbb-491ca1076fdd, 1-800-447-2273","https://ihsmarkit.com/Legal/privacy-policy.html","04/08/2020"
"Cole Information","jim.eggleston [at] coleinformation.com","http://www.coleinformation.com","17041 Lakeside Hills Plaza Suite 2, Omaha, NE 68130, United States","https://info.coleinformation.com/ccpa-opt-out, ","https://www.coleinformation.com/contact-us/, ","","06/01/2020"
"Skydeo Inc.","privacy [at] skydeo.com","https://skydeo.com","401 Congress Street, Suite 1540, Austin, TX 78701, United States","https://skydeo.com/privacy-policy/opt-out/","https://skydeo.com/privacy-policy/opt-out/","https://skydeo.com/privacy-policy/","05/19/2020"
"Start.io Inc.","privacy [at] start.io","https://www.start.io/","584 Broadway St., Manhattan, New York, NY 10012, United States","Consumer can contact Start.io Inc. through any of the following emails: support@start.io or privacy@start.io, Instructions about Start.io Inc.opt out practice is available here: https://www.start.io/optout-right/, ","Consumer can contact Start.io Inc.through any of the following emails: support@start.io or privacy@start.io, Following receiving a request and identity validation, Start.io Inc. will delete the individual MAID, which is the only unique identifier Start.io Inc. stores and processes. Deletion will cause anonymization of the individual's information., Start.io Inc. data collection practices, including opt out and deletion rights of individuals, are available at Start.io Inc. end user privacy policy, available at: https://www.start.io/policy/privacy-policy/.","Start.io Inc. data collection practices, including opt out and deletion rights of individuals, are available at Start.io Inc. end user privacy policy, available at: https://www.start.io/policy/privacy-policy/.","09/02/2020"
"Quotient Technology Inc.","privacy [at] quotient.com","http://www.quotient.com","400 Logue Ave, Mountain View, CA 94043, United States","California residents may submit an opt-out of sale request online at https://www.quotient.com/privacy-portal/ or by sending an email to privacy@quotient.com.","California residents may submit a deletion request online at https://www.quotient.com/privacy-portal/ or by sending an email to privacy@quotient.com.","Additional information about Quotient's data collecing practices can be found in our Privacy Policy (https://www.quotient.com/privacy-policy/) and our Supplemental California Privacy Notice (https://www.quotient.com/supplemental-california-privacy-notice/).","07/01/2020"
"Ubimo Inc.","privacy [at] ubimo.com","http://www.ubimo.com","85 Broad Street, New York, NY 10004, United States","California residents may submit an opt-out of sale request online at https://privacyportal-cdn.onetrust.com/dsarwebform/b762a683-31d7-4231-82be-7489d33c588c/cb90aa1d-94b9-41d2-91e5-14bac5c722a5.html or by sending an email to privacy@ubimo.com.","California residents may submit a deletion request online at https://privacyportal-cdn.onetrust.com/dsarwebform/b762a683-31d7-4231-82be-7489d33c588c/cb90aa1d-94b9-41d2-91e5-14bac5c722a5.html or by sending an email to privacy@ubimo.com.","Additional information about Ubimo's data collecting practices can be found in our Privacy Policy (https://www.ubimo.com/privacy) and our Supplemental California Privacy Notice (https://www.ubimo.com/supplemental-california-privacy-notice/)","07/01/2020"
"Audient Company LLC","info [at] audientco.com","http://www.audientco.com","2234 N Federal HWY, Suite 3018, Boca Raton, FL 33431, United States","https://www.audientco.com/ccpa-privacy-policy","https://www.audientco.com/ccpa-privacy-policy","","07/01/2020"
"DATATrue, LLC","Gene-datatrue [at] att.net","http://www.personifind.net","115 W California Blvd, #248, PASADENA, CA 91105, United States","To begin your Right-to-Delete or Opt out request, please email us at privacy@personifind.net or contact us via the phone number or postal address:, 115 W. California Blvd, #248, Pasadena, CA 91105, (626) 396-8271 office, (626) 321-4726 fax ","California consumers request deletion of information posted under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by sending an email to privacy@personifind.net or contact us by mail, phone or fax:, , 115 W. California Blvd, #248, Pasadena, CA 91105, (626) 396-8271 office, (626) 321-4726 fax ","Information Collected by Person-I-Find, , Person-I-Find is a database of publicly available sources of information aggregated for your convenience. Visitors can access certain information posted to or made available through the Site as compiled, distributed, and displayed by Person-I-Find and other third-party content providers (""Third-Party Providers"") including, but not limited to, third-party websites or services that provide information about individuals (each, a ""Search Subject"") that can be searched for and accessed through the Site., , Person-I-Find collects two types of information from or about you: information that you submit to us, and information about Search Subjects., Information You Submit to Person-I-Find, , We collect information that you provide when you use the Site when you conduct a Person-I-Find search or when you contact us with a question, comment, or request. This can include, but is not limited to, your:  (a) full name; (b) credit card information; (c) zip code information associated with a Search Subject (such as a name, email address, phone number or address) that you use to conduct a Person-I-Find Search., , No Information Collected Automatically About Your Usage, , Unlike many web sites, we do not automatically gather certain information nor store it in log files or otherwise. We do not gather internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data. We do collect your credit or debit card information and it is passed to our Merchant Services company solely for the purpose of collecting payment for your purchase, if any and , if you submit a search request, we will attempt to receive an authorization from your financial institution and only charge your card if a report is returned., ","06/22/2020"
"Wunderkind Corporation","privacy [at] bouncex.com","https://www.bouncex.com/","285 Fulton St, 74th Floor, New York, NY 10007, United States","Information about how California consumers can opt out of the sale of their personal information or submit requests can be found here: https://www.bouncex.com/privacy/data-request-instructions/","Information about how a protected individual can demand deletion of information posted online can be found here: https://www.bouncex.com/privacy/data-request-instructions/","Additional information about BounceX's data collection practices can be found in BounceX's privacy policy: https://www.bouncex.com/privacy/","07/08/2020"
"BIDSWITCH GmbH","privacy [at] bidswitch.net","http://www.bidswitch.com","Bahnhofstrasse 28, Postfach 7563, 6302 Zug, Switzerland","Please visit our Privacy Policy, specifically the section ""Your Data Subject Rights""., https://www.bidswitch.com/privacy-policy/#rights","Please visit our Privacy Policy, specifically the section ""Your Data Subject Rights""., https://www.bidswitch.com/privacy-policy/#rights","Please visit our Privacy Policy to learn more about how we collect and use personal information., https://www.bidswitch.com/privacy-policy/","08/25/2020"
"The MediaGrid Inc.","privacy [at] themediagrid.net","http://www.themediagrid.com","625 Broadway, 10th Floor, New York, NY 10012, United States","Please visit our Privacy Policy, specifically the section ""Your Data Subject Rights""., https://www.themediagrid.com/privacy-policy#rights, ","Please visit our Privacy Policy, specifically the section ""Your Data Subject Rights""., https://www.themediagrid.com/privacy-policy#rights, ","Please visit our Privacy Policy to learn more about how we collect and use personal information. https://www.themediagrid.com/privacy-policy","08/25/2020"
"Midnight Oil Marketing Group Inc","support [at] midnightoil.marketing","http://midnightoil.marketing","3663 Garrison St, San Diego, CA 92106, United States","Users are able to submit a request using the following forms: , , https://www.midnightoil.marketing/opt-out, ","An individual may demand deletion of information using this form:, , https://www.midnightoil.marketing/remove-my-data","https://www.midnightoil.marketing/copy-of-privacy-policy, https://www.midnightoil.marketing/terms","08/10/2020"
"Infinite Knot Inc dba Contacts411","barrygold [at] contacts411.com","http://contacts411.com","PO Box 390, Greens Farms, CT 06838-0390, United States","See website link - https://contacts411.com/optOut","https://contacts411.com/ccpa","Contacts411 does not collect data beyond our effort to provide an update to our app users, one contact at a time.  Our users submit an update request on our iOS app, and we submit the data to external third party databases for matching purposes.  When a match is achieved, we deliver new contact data back to the user and or confirm their existing data.  ","09/21/2020"
"SIRDATA SAS","dpo [at] sirdata.com","https://www.sirdata.com/home/","20 RUE SAINT-FIACRE, 75002 PARIS, France","A consumer can review Sirdata's privacy practices and opt-out of sales and submit requests under the CCPA by visiting the page https://www.sirdata.com/privacy/","Sirdata does not publicly post or display personal information online.","Please review our privacy statement to learn more about how we collect and use data: https://www.sirdata.com/privacy/","01/05/2021"
"Firefly Systems Inc. ","privacy [at] fireflyon.com","https://www.fireflyon.com/","488 8th Street, San Francisco, CA 94103, United States","A consumer may opt out of the sale of personal information or submit requests under the CCPA by emailing privacy@fireflyon.com or by completing the form at https://www.fireflyon.com/personal-information.  ","Firefly does not publicly post or display personal information of individuals online. For more information about Firefly’s privacy practices, see Firefly’s Privacy Policy at https://www.fireflyon.com/privacy-policy., , ","Additional information about Firefly’s data collecting practices can be found in Firefly’s Privacy Policy at https://www.fireflyon.com/privacy-policy.","02/26/2021"
"DecaData Corporation","dataprivacy [at] Decadata.io","http://www.decadata.io/","5300 Geary Blvd, Suite 215, SAN FRANCISCO, CA 94118, United States","Contact support@decadata.io","Contact support@decadata.io","","02/04/2021"
"Social Outlier","Data [at] socialoutlier.com","http://socialoutlier.com","934 S Santa Fe Ave, Los Angeles, CA 90021, United States","Please email data@socialoutlier.com","Submit a written request. Either mailed, email, or contact sheet online. ","","02/05/2021"
"KnowWho","bbrownson [at] knowwho.com","http://www.knowwho.com","8198 Terminal Road, Suite 200, Suite 200, Lorton, VA 22079, United States","written letter, email, webform or phone call","written letter, email, webform or phone call","50-years in business- we specialize in data on federal, state, and local elected officials","01/29/2021"
"KnowWho","bbrownson [at] knowwho.com","http://www.knowwho.com","8198 Terminal Road, Suite 200, Suite 200, Lorton, VA 22079, United States","Send us an e-mail and we will research and ensure that you are not in any of our databases.","Send us an e-mail and we will research and ensure that you are not in any of our databases.","","01/29/2021"
"Infocore, Inc.","info [at] infocore.com","http://www.infocore.com","2766 Gateway Rd, Carlsbad, CA 92009, United States","This is the link to our privacy policy , , https://infocore.com/infocore-privacy-policy/","Infocore receives, processes, and uses data owned by business(es) on behalf of the business(es) and to which the business(es) disclose to Infocore consumer personal information for a business purpose under written contracts.  The written contracts prohibit Infocore from retaining, using or disclosing consumer personal information for any purpose other than for the specific purpose of performing the services specified in the contract for the business as permitted by the Act.  The contracts do not provide Infocore with the right to disclose or delete any personal information to any consumer.  Indeed, Infocore may lack critical information necessary to verify that a request to know or a request to delete is from a consumer., , Please note that Infocore cannot respond to requests from third parties or bots because Infocore cannot verify that the consumer is the one making the consumer request.","","02/04/2021"
"EMX Digital, Inc.","legal [at] emxdigital.com","http://www.enginemediaexchange.com","902 Carnegie Center - Suite 220, Princeton, NJ 08540, United States","Visit our website","Please see our privacy policy   enginemediaexchange.com/privacy","Please see our privacy policy   enginemediaexchange.com/privacy","02/11/2021"
"SMARTE Inc.","privacy [at] smarteinc.com","http://www.smarteinc.com","1209 Lynbrook Way,, San Jose, CA 95129, United States","This link gives a detailed description of how a customer can OPT-OUT of submit requests etc. - https://smarteinc.com/privacy-policy/ and https://smarteinc.com/gdpr-compliant-data/. , , Also, every email that we send out has an ""Unsubscribe"" link on the bottom for the consumer to demand deletion https://smarteinc.com/unsubscribe/, , With every email sent, there is an OPT-OUT link sent as well for the consumer to OPT-OUT, ","The consumer can email his request to privacy@smarteinc.com (as explained in the privacy policy - https://smarteinc.com/privacy-policy/). , , Also, every email that we send out has an ""Unsubscribe"" link on the bottom for the consumer to demand deletion https://smarteinc.com/unsubscribe/, ","SMARTe provides customers with names, titles, and business contact information to help them identify and engage with other businesses (B2B data).  We derive our core business contact database from publicly-available sources (e.g. company websites, social media) and sometimes email addresses deduced by our systems based on corporate email patterns (e.g., first.last@company.com).  SMARTe does not provide individual consumer contact information or process sensitive personal data.","02/18/2021"
"Slintel, Inc.","deepak [at] slintel.com","http://Www.slintel.com","169 rabbit ct, Fremont, CA 94539, United States","We have detailed information we collect and the opt out mechanism in our privacy policy on our website  - https://www.slintel.com/privacy, , We also have a seperate link ‘Do not sell my info’ . If users want to access their information, amend their information or delete their information, they can do so from this page. ","We have detailed information we collect and the opt out mechanism in our privacy policy on our website  - https://www.slintel.com/privacy, , We also have a seperate link ‘Do not sell my info’ . If users want to access their information, amend their information or delete their information, they can do so from this page. ","We do not sell the personal information that we receive from users as part of their registration or in connection with their uses of the Slintel Services.  , , We make Public Profiles available to our customers on a subscription basis. Our customers are sales and marketing teams in B2B companies that are looking to establish a connection with potential buyers to gauge interest in their offerings. The categories of personal information that we collect or receive make available in the Public Profiles include: , , Identifiers, like your name, business title, company, location, business email address, business phone number and other similar identifiers., Electronic, visual, or similar information, such as your profile photo or other photos., Inferences drawn from any of the above.","05/27/2021"
"Carevoyance, Inc.","data-privacy [at] carevoyance.com","https://carevoyance.com","1414 SE 32nd Ave, Portland, OR 97214, United States","email info@carevoyance.com with relevant opt-out information, including name and email","email info@carevoyance.com with relevant opt-out information, including name and email","","07/23/2021"
"SourceScrub LLC","privacy [at] sourcescrub.com","https://www.sourcescrub.com","115 Sansome Street, Suite 1200, San Francisco, CA 94104, United States","A consumer may opt out of sale or submit requests under the CCPA by emailing us at privacy@sourcescrub.com or by filling out our opt-out form: https://www.sourcescrub.com/legal/do-not-sell-my-personal-information","A consumer may opt out of sale or submit requests under the CCPA by emailing us at privacy@sourcescrub.com or by filling out our opt-out form: https://www.sourcescrub.com/legal/do-not-sell-my-personal-information","We collect publicly available Names and Business Emails for executives at small businesses in the US ","08/24/2021"
"DeepPod","discover [at] deeppod.ai","http://DeepPod.ai","250 Treeline park 1209, San Antonio, TX 78209, United States","Please mail requests to , , Attn: DeepPod Privacy Request, 989 S Santa Fe Ave, Los Angeles, CA 90021, , Or email, , Discover@deeppod.ai","Please request deletion via email or via USPS mail , , Email discover@deeppod.ai , Subject: CCPA Privacy Request","","01/26/2022"
"GumGum Inc.","dataprivacy [at] gumgum.com","https://gumgum.com/","1314 7th St., 4th Floor, Santa Monica, CA 90401, United States","Opt-out” form and button located within Terms & Policies on website, as well as OneTrust ""Do not sell"" button leading to a subject access form.","We have an opt-out phone number 1-866-I-OPT-OUT Service # 319 where requests can be left, as well as a direct email account (dataprivacy@gumgum.com), and a OneTrust ""Do not sell"" button leading to a subject access form.","Our opt-out page reads as follows:, At GumGum, we believe in making advertising as relevant and engaging as possible to enhance your experience across our premium platform. In order to do this, we use cookies to collect non-personally identifiable information about the pages you visit on the partner websites in which GumGum is enabled., , We also respect your privacy. If you prefer we do not use this type of log data for serving ads that are more relevant to your interests, please click the “opt-out” button below. Selecting this option lets us know not to use information about your web browsing behavior for ad targeting (also known as ‘behavioral advertising’)., , By choosing to “opt-out”, you are opting out of the behavioral targeting. This means you will still receive GumGum ads, they will just not be specifically targeted to you/your interests.","01/25/2022"
"Catylist Real Estate Software, Inc.","hello [at] catylist.com","https://www.catylist.com/","1209 Orange Street, Wilmington, DE 19801, United States","Please see https://www.commercialexchange.com/privacy and https://www.catylist.com/privacy/","Please see https://www.commercialexchange.com/privacy and https://www.catylist.com/privacy/","Please see https://www.commercialexchange.com/privacy and https://www.catylist.com/privacy/","02/08/2022"
"Client Connect LLC","team [at] clientconnect.ai","https://clientconnect.ai","1700 Van Ness Ave. #1062, San Francisco, CA 94109, United States","California consumers may opt out of the sale of their personal information directly by 1 of 3 methods: , , 1) Clicking the ""opt-out"" button in the email that was sent to them at the time we obtained their email address. , 2) Filling out a contact form on our website at https://clientconnect.ai/contact., 3) Requesting opt-out by sending an email to team@clientconnect.ai. , , California consumers may exercise their opt out of sale and all other rights as described in Client Connect's California Privacy Statement: https://clientconnect.ai/notice-to-california-residents/. It provides detailed information about the rights of the consumer and instructions how to exercise those rights., , ","Not applicable since Client Connect LLC does not publicly post online the telephone number or address information of individuals.","Client Connect LLC processes information about California consumers in accordance with Client Connect LLC's California Privacy Statement:, https://clientconnect.ai/notice-to-california-residents/. ","01/26/2022"
"Fraiser LLC","privacy [at] fraiser.org","http://www.fraiser.org","80 M Street, Southeast, c/o Fraiser, Washington, DC 20003, United States","Consumers may manage their data management preferences through Fraiser’s comprehensive privacy center: www.fraiser.org/ccpa","Consumers may manage their data management preferences through Fraiser’s comprehensive privacy center: www.fraiser.org/ccpa","Fraiser’s data collection and management practices can be located by visiting www.fraiser.org/privacy-policy","01/28/2022"
"Geranium Data","privacy [at] geraniumdata.com","http://geraniumdata.com","651 N Broad St, Ste 205 #4103, Middletown, DE 19709, United States","Consumers may contact us at privacy@geraniumdata.com or use the links on our privacy policy pages.","Consumers may contact us at privacy@geraniumdata.com or use the links on our privacy policy pages.","The Geranium Data privacy policy is available here: https://geraniumdata.com/privacy-policy/","01/31/2022"
"Unacast, Inc.","privacy [at] unacast.com","https://www.unacast.com/","245 Fifth Avenue, Suite 1101, New York, NY 10016, United States","Consumers may make use of a webform maintained on the Unacast website at https://www.unacast.com/opt-out. Requests to know, delete, and opt-out may be submitted through this webform per the consumer's designation. Consumers may also submit general privacy requests to privacy@unacast.com.","Unacast does not maintain or provide to its clients the home address, telephone number, or image of any individual. However, deletion requests may generally be submitted by any individual to privacy@unacast.com or in writing to: Unacast, Inc. 245 Fifth Avenue, Suite 1101 New York, NY 10016.","Unacast's full data collection, use, and disclosure practices are described in detail in its online privacy policy, available at: https://www.unacast.com/privacy.","02/10/2022"
"MedPro Systems LLC","ccpa [at] medprosystems.com","https://www.medproid.com","100 Stierli Court, Mt. Arlington, NJ 07856, United States","Consumers may submit opt out requests by sending an email to CCPA@MedProSystems.com or calling (833)-633-4866.  Additional information can be found on our website: https://www.medproid.com/public/home/dataprivacyandsecurityrationalestatement.","Not applicable as MedPro does not post any personal information online. ","To learn more about our privacy practices, please visit our website: https://www.medproid.com/public/home/dataprivacyandsecurityrationalestatement. ","03/07/2022"
"Halfspace","privacy [at] halfspace.co.uk","http://www.halfspace.co.uk","6th Floor, 25 Farringdon Street, London, EC4A 4AB, United Kingdom","Consumers may email privacy@halfspace.co.uk with requests, and they may also opt out of  cookie and other ID-based data collection at https://optout.networkadvertising.org/?c=1 (the DMP that Halfspace uses for our data broker activities in Lotame, which participates in the Network Advertising Initiative).   , ","Halfspace doesn’t control websites where we post information about consumers.  However, if a consumer has any request for us, they can  email privacy@halfspace.co.uk., ","Halfspace is a marketing agency and a data processor for our clients, the data controllers.  We help them to use data platforms to collect consumer data.  The specific data that we broker is collected using Lotame DMP (data management platform), with Lotame tags on our clients’ sites.  Only users who give consent through a CMP (consent management platform) will have data collected via cookies and similar technologies.  The data that we broker is aggregated in Lotame Data Exchange and does not contain personally identifiable information such as name, date of birth or email.  More detail here:   https://halfspace.co.uk/halfspace-processor-privacy-policy/  , ","02/28/2022"
"Keono","michael.medema [at] keono.com","http://www.keono.com","448 w. vallette st, elmhurst, IL 60126, United States","https://mackerel-icosahedron-n5z7.squarespace.com/config/, , Consumers can visit our website at www.keono.com and click on the privacy policy to see the language and ways to submit requests.","Consumers can contact us at https://mackerel-icosahedron-n5z7.squarespace.com/config/ and see how to remove their information from our database.","All consumers are given our privacy policy when signing up for our marketing services.  They can opt out of all emails we send to consumers.  Our policy is clearly on all emails we send so consumers can visit the policy and see how we utilize data.","03/08/2022"
"Contint Inc.","paul [at] contintinc.com","http://contintinc.com","316 California Ave #57, Reno, NV 89509, United States","A consumer may make a request to privacy@intentmacro.com. They may also utilize an opt-out function via our website.","An individual can demand deletion of information through a request to privacy@intentmacro.com","","03/24/2022"
"Left Click","info [at] left-click.com","http://www.left-click.com","1263 First Street Southeast, 217, Washington, DC 20003, United States","One may opt-out in the following ways:, -Email info@left-click.com and asked to be opted-out, -Click ""Unsubscribe"" on emails, -Fill out the Opt-Out form on the website","One may demand deletion in the following ways:, -Email info@left-click.com and asked to be deleted, ","","03/31/2022"
