"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Cole Information","jim.eggleston [at] coleinformation.com","http://www.coleinformation.com","17041 Lakeside Hills Plaza Suite 2, Omaha, NE 68130, United States","https://info.coleinformation.com/ccpa-opt-out, ","https://www.coleinformation.com/contact-us/, ","","06/01/2020"
"Aptive Environmental","cole [at] goaptive.com","http://goaptive.com","5132 N 300 W, #150, Provo, UT 84604, United States","A consumer may opt-out by request through email, phone conversation, or text message. ","A consumer may opt-out, which results in a deletion, by the response to marketed efforts through email, phone conversation, or text message. ","A consumer fills out a lead for a pest control service quote, if the lead is not in Aptive's area of service, it will be given to a third party to help the consumer take care of their pest control needs. ","09/02/2020"
"Telo USA Inc. and its subsidiaries and affiliates","privacy [at] telo.com","http://www.telo.com","53 Palmeras ST, 7th Floor, San Juan, PR 00901, United States","A consumer may opt out of sale or submit requests under the CCPA by using the web form located at https://www.telo.com/ccpa or by emailing us at privacy@telo.com.","A protected individual may submit their deletion request by emailing us at privacy@telo.com. ","","06/09/2020"
"NinthDecimal, Inc.","privacy [at] ninthdecimal.com","https://www.ninthdecimal.com/","150 Post Street, Suite 500, San Francisco, CA 94108, United States","A consumer may opt-out of the sale of data or submit a CCPA request by visiting the Privacy Center on our website, or by clicking on the link below.  You can also send us an email at privacy@ninthdecimal.com or call our toll free number (1-800-563-1580) and we will provide you instructions on how to make a request.  , , https://www.ninthdecimal.com/privacy/#tab-id-5","A consumer can demand deletion of information by visiting the Privacy Center on our website, or by clicking on the link below.  You can also send us an email at privacy@ninthdecimal.com or call our toll free number (1-800-563-1580) and we will provide you instructions on how to make a request.  , , https://www.ninthdecimal.com/privacy/#tab-id-5","Consumers can learn more about our data collection practices by accessing our privacy policy:, , https://www.ninthdecimal.com/privacy/#tab-id-1, , ","07/13/2020"
"Atriks, LLC","ccpa [at] atriks.com","http://atriks.com","300 West Road, Portsmouth, NH 03801, United States","Detailed information on how to opt out are available at http://atriks.com/privacy.html","Detailed information on how to opt out are available at http://atriks.com/privacy.html","","07/08/2020"
"Tranwave Productions, LLC.","privacy [at] tranwave.com","http://tranwave.com","2509 Bay Blvd, Apt A, Apt A, INDIAN ROCKS BEACH, FL 33785, United States","California residents may submit opt-out requests via email to:, postmaster@blogizine.com, postmaster@bloggerist.com, postmaster@loveyhouse.com, postmaster@pagesblog.com, ","Protected and Non-protected individuals can request deletion by emailing the following email addresses:, postmaster@blogizine.com, postmaster@bloggerist.com, postmaster@loveyhouse.com, postmaster@pagesblog.com","Please visit the following websites to review our Privacy Statement for more information., https://blogizine.com/privacy-policy/, https://loveyhouse.com/privacy-policy/, https://bloggerist.com/privacy-policy/, https://pagesblog.com/privacy-policy/","07/31/2020"
"The Data Group","compliance [at] thedatagroup.com","http://TheDataGroup.com","3280 East Colonial Drive, Orlando, FL 32803, United States","A consumer may submit opt-out requests by email to compliance@thedatagroup.com. A consumer may visit our privacy policy at: https://www.thedatagroup.com/privacy-policy/ for more information.","The Data Group does not post data online; however, if you wish to opt-out of other third party ad platforms and ad networks, we recommend visiting the opt-out pages offered by the Network Advertising Initiative and the Digital Advertising Alliance (DAA) AboutAds program. For more information, please go to The Data Group's privacy policy at: https://www.thedatagroup.com/privacy-policy/","","07/22/2020"
"Command Precision Inc. d/b/a/ Persistent.id","info [at] persistent.id","https://persistent.id","100 Summit Drive, Suite 100, Burlington, MA 01803, United States","Send an email to info@Persistent.id with the subject line “California Privacy Rights Request” or call our toll-free telephone number at 1-888-367-6911. For more information, please see our privacy policy at https://persistent.id/policy/. ","Send an email to info@Persistent.id or contact us by mail at Persistent.id, 100 Summit Drive, Suite 100, Burlington, Massachusetts 01803.","See our privacy policy at https://persistent.id/policy/. ","08/24/2020"
"Merchant Resource Group, Inc.","info [at] merchantresource.com","https://merchantresource.com","100 Summit Drive, Suite 100, Burlington, MA 01803, United States","Send an email to info@merchantresource.com with the subject line “California Privacy Rights Request,” call our, toll-free telephone number at 1-888-367-6911 or click the ""DO NOT SELL"" button at the bottom of the webpage at https://merchantresource.com. For more information, please see our privacy policy at https://merchantresource.com/privacy-policy/. , ","Not applicable.","Please see our privacy policy at https://merchantresource.com/privacy-policy/.","08/18/2020"
"Baylyn LLC","kevin [at] baylynmedia.com","http://www.baylyncrm.com","7409 parkline drive, Henrico, VA 23226, United States","The policy is available with privacy policy that give instructions on how to opt out. By emailing us at  care@baylyncrm.com ","Our opt out policy is simply they can opt out by emailing us at care@baylyncrm.com  Our booking widget clearly asked for permission and gives them a opt out process if they no longer want to receive information. ","We buy marketing information to only be used for marketing purpose. We buy from 3rd party data sources. We also provide a opt out process with all of our marketing ads. ","10/15/2020"
"EverString Technology Limited","privacy [at] everstring.com","http://www.everstring.com","1850 Gateway Drive, Suite 400, San Mateo, CA 94404, United States","Consumers may manage their data preferences through our Privacy Contact Center, here: https://pages.everstring.com/CCPA.html","Consumers may manage their data preferences through our Privacy Contact Center, here: https://pages.everstring.com/CCPA.html","Consumers may learn more about our data collection and use practices by reviewing our Privacy Policy, here:  https://www.everstring.com/privacy-policy/","10/28/2020"
"Acme Inc","fathkr [at] gmail.com","http://www.acme.com","200 Water Street, Sacramento, CA 94203, United States","","","",""
"R1D Media Group","info [at] r1dmediagroup.com","http://www.r1dmediagroup.com","4833 Front Street, Ste. B204, Castle Rock, CO 80104, United States","","","",""
"jessica wasserman","jessica [at] wassermandc.com","http://wassermandc.com","2842 27th Street, NW, Washington, DC 20008, United States","online","online","third party",""
"List Connection","ken [at] listconnection.net","http://www.listconnection.net","PO Box 1712, Simpsonville, SC 29681, United States","Please contact us at: , List Connection, Attn: Privacy Officer, PO Box 1712, Simpsonville, SC 29681, Phone:  864-962-0761, Email:  ken@listconnection.net","Please contact us at: , List Connection, Attn: Privacy Officer, PO Box 1712, Simpsonville, SC 29681, Phone:  864-962-0761, Email:  ken@listconnection.net","",""
"Weborama","privacy [at] weborama.com","http://www.weborama.com","15 rue Clavel, 75019 Paris, France","By these link  :,  https://weborama.com/en/weborama-privacy-commitment/, https://optout.privacyrights.info/?c=1, , , "," https://weborama.com/en/weborama-privacy-commitment/, , Weborama use One trust Solution in order to permit Californian consumer to manage their rights ","Weborama collect personal data in order to build 3rd party data base ",""
"PACE Marketing & Communications","communications [at] pace-ca.us","http://pace.marketing","10565 civic center dr #100, Rancho Cucamonga, CA 91730, United States","A consumer that wants to opt out of sales or submit requests, can submit a request to our customer service representation(info@pace.marketing) or call us on our toll free number(833-275-7223).","A consumer that wants to demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) , can submit a request to our customer service representation(info@pace.marketing) or call us on our toll free number.","We collect our data from various public sources and whitepages.com. We also run our list data through the NCOA service to clean our information.",""
"Safe Reach Media, LLC","Data [at] safe-reach.com","http://Safe-Reach.com","30 MONTGOMERY ST, Jersey City, NJ 07302, United States","We have established protocols with publishers who are sending us data directly, any user that requests their information no longer be sold will be suppressed from our database and our distribution channels within 48 hours. ","Our publisher partners will be managing the PII associated to any user and will send all information to those users directly, as we are working with their anonymized web data, the anonymized online identifiers associated to any user will be identified and removed from our monetization pipeline. ","",""
"MarkSpace Media Pvt Ltd","amit.a [at] markspacemedia.com","http://www.markspacemedia.com","Office # 304/ 305/ 306/ 307, 3rd Floor, Connaught Place, Bund Garden Road, Pune Maharashtra 411001, India","Exercising Access, Data Portability, and Deletion Rights:, To exercise the access, data portability, and deletion rights, please submit a verifiable consumer request to us at privacy@markspacemedia.com , ‘Opt-out’ from Sale:, You may opt out from having your personal information sold by submitting verifiable request at ‘Do not Sell my data’., ","Our Deletion Request Rights are as follows:, , You have the right to request that we delete any of your personal information that we collected from you and retained, subject to certain exceptions. Once we receive and confirm your verifiable consumer request, we will delete (and direct our service providers to delete) your personal information from our records, unless an exception applies., We may deny your deletion request if retaining the information is necessary for us or our service providers to:, 1.	Complete the transaction for which we collected the personal information, provide a good or service that you requested, take actions reasonably anticipated within the context of our ongoing business relationship with you, or otherwise perform our contract with you., 2.	Detect security incidents, protect against malicious, deceptive, fraudulent, or illegal activity, or prosecute those responsible for such activities., 3.	Debug products to identify and repair errors that impair existing intended functionality., 4.	Exercise free speech, ensure the right of another consumer to exercise their free speech rights, or exercise another right provided for by law., 5.	Comply with the California Electronic Communications Privacy Act (Cal. Penal Code § 1546 seq.)., 6.	Engage in public or peer-reviewed scientific, historical, or statistical research in the public interest that adheres to all other applicable ethics and privacy laws, when the information's deletion may likely render impossible or seriously impair the research's achievement, if you previously provided informed consent., 7.	Enable solely internal uses that are reasonably aligned with consumer expectations based on your relationship with us., 8.	Comply with a legal obligation., 9.	Make other internal and lawful uses of that information that are compatible with the context in which you provided it., ","Information on the categories on which we collect data and the ones where we Do Not:, Data Type: Identifiers | Data Collected: YES (First name, last name, title, company name, email, work phone, street, state, zip, country, IP address, LinkedIn profile, revenue of the company.) , Data Type: Personal information categories listed in the California Customer Records statute (Cal. Civ. Code § 1798.80(e)). | Data Collected: NO, Data Type: Protected classification characteristics under California or Federal Law | Data Collected: NO, Data Type: Commercial information. | Data Collected: NO, Data Type: Biometric information. | Data Collected: NO, Data Type: Internet or other similar network activity. | Data Collected: NO, Data Type: Geolocation data. | Data Collected: NO, Data Type: Sensory Data | Data Collected: NO, Data Type: Professional or employment-related information. | Data Collected: NO, Data Type: Non-public education information (per the Family Educational Rights and Privacy Act (20 U.S.C. Section 1232g, 34 C.F.R. Part 99)). | Data Collected: NO, Data Type: Inferences drawn from other personal information. | Data Collected: NO, ",""
"Connect Now Inc.","karen [at] connectnowinc.com","https://www.connectnowinc.com","110 Commercial Wharf North, 3rd Floor, Boston, MA 02110, United States","Please refer to our privacy policy found at https://connectnowinc.com/privacy-policy/, ","Please refer to our privacy policy found at https://connectnowinc.com/privacy-policy/","",""
"NEAR PTE LTD","privacy [at] near.co","http://www.near.co","160 Robinson Road, #20-03 SBF Center, 068914, Singapore","Consumer can go to www.near.co/privacy and such page has a placeholder for opting out. ","Consumer can go to www.near.co/privacy and such page has a placeholder for requesting deletion of information. Individuals can also email us at privacy@near.co requesting deletion of information. ","Our data collection and privacy compliance is highlighted in details at www.near.co/privacy","01/03/2023"
"Ivy Data","kyle [at] getivydata.com","https://www.getivydata.com/","2250 E Germann Rd, Suite 4, Chandler, AZ 85286, United States","We have two options at the bottom of home page. They are links that give the consumer the power to opt out or confirm to do not sell their information. ","We have two options at the bottom of home page. They are links that give the consumer the power to opt out or confirm to do not sell their information. ","",""
"Edinburgh Holdings LLC","help [at] listshack.support","https://www.listshack.io/","1042 Fort Union Boulevard #1122, Midvale, UT 84606, United States","The process for for consumers opting out of the sale or submitting requests under the CCPA is detailed in our CCPA disclosures at https://www.listshack.io/ccpa","The process for protected individuals demanding deletion of information is detailed in our CCPA disclosures at https://www.listshack.io/ccpa. Deletion requests may be sent directly to our company via email after completing the form found at https://www.listshack.io/ccpa_optout.","We disclose our data collecting practices in our CCPA disclosures found at https://www.listshack.io/ccpa.",""
"Ubiquity Systems","azuttah [at] ubiquitysystemsusa.com","http://www.accuusa.com","11049 Magnolia Blvd., Unit 238, North Hollywood, CA 91601, United States","They may request it with an unsubscribe email.","They may request it with an unsubscribe email.","",""
"Sabio","Aziz [at] sabio.inc","http://www.sabio.inc","6320 Canoga Ave, Woodland Hills, CA 91436, United States","We have provided opt out form on our website","Request it on our website","",""
"Accurate Append Inc","operations [at] accurateappend.com","https://clients.accurateappend.com","1100 Bellevue Way NE #886, Bellevue, WA 98004, United States","https://clients.accurateappend.com/Public/OptOut","https://clients.accurateappend.com/Public/OptOut","",""
"BoardEx LLC","sales [at] boardex.com","https://www.boardex.com","Hippodrome Building, 1120 Avenue of the Americas,, New York, NY 10036, United States","https://www.boardex.com/privacy-policy/","https://www.boardex.com/privacy-policy/","https://www.boardex.com/privacy-policy/",""
"WealthEngine, Inc.","amy.yang [at] wealthx.com","https://www.wealthengine.com","4340 E W Hwy, #900, Bethesda, MD 20814, United States","https://www.wealthengine.com/optout-privacypolicy/","https://www.wealthengine.com/optout-privacypolicy/","https://www.wealthengine.com/optout-privacypolicy/, , https://www.wealthengine.com/wealthengine-inc-privacy-policy/",""
"Frontier Financial Group Inc. DBA New Frontier Data","legal [at] newfrontierdata.com","http://newfrontierdata.com","1400 I Street NW, STE 350, Washington, DC 20005, United States","A consumer may contact us to opt out of sale or submit data/privacy-related requests by email at Privacy(at)NewFrontierData.com or calling our toll-free number 844-420-D8TA (3882) x115. ","An individual may contact us to demand deletion of information by contacting us by email at Privacy(at)NewFrontierData.com or our toll-free number 844-420-D8TA (3882) x115.","",""
"INFO Depots LLC","info [at] infodepots.com","https://www.infodepots.com/","260 Madison Avenue 8th Floor, New York, NY 10016, United States","Send an email to info@infodepots.com with the subject line “California Privacy Rights Request,” call our, toll-free telephone number at 1-844-822-2600 or click the ""DO NOT SELL"" button at the bottom of the webpage at https://www.infodepots.com/. For more information, please see our privacy policy at https://www.infodepots.com/privacy-policy/., ","Not applicable","Please see our privacy policy at https://www.infodepots.com/privacy-policy/.",""
"Alphonso Inc.","general.counsel [at] alphonso.tv","http://www.alphonso.tv","211 Hope Street, Suite 390905, Mountain View, CA 94041, United States","Consumers are able to opt out by clicking the ""Do Not Sell My Info"" link on our website, or through our privacy center (https://alphonso.tv/privacy/ccpa/).  Both of these methods lead to our Do Not Sell form, available at https://choice.alphonso.tv/donotsell.","Consumers are able to request data deletion through our privacy center (https://alphonso.tv/privacy/ccpa/) which will then lead them to the specific request form available at https://choice.alphonso.tv/otherccparequests.","Alphonso collects television viewing information through various Smart TVs.   The collection personal information is limited to IP Addresses.","02/07/2022"
